"Positively linked with ..., consistently linked with fragile p-values",,,,,,
abstinence,twotailed,looked,hiv,unadjusted,verb,choose
chose,successful.,saw,arm,infant,drug,hamd
driven,looking,bar,binomial,provider,motivated,multivaria.
completer,look,remission,window,responder,experiment.,mdd
reliable,money,novel,connectivi.,speech,adjusting,trial
late,tau,joint,toddler,days,visit,primed
exact,label,unexpected,antidepres.,brain,give,implicit
race,her,attended,lifetime,activation,cause,cortisol
relative,pupil,likely,week,bilingual,stories,placebo
priming,bipolar,continued,earlier,versus,object,volume
familiar,medication,minority,onset,caregivers,baseline,learned
prior,bdi,caregiver,depressed,children,offer,attendance
subject,longer,day,assigned,attempt,whose,reduction
took,odds,received,spatial,month,condition,they
less,choice,prime,vocabulary,participant,smoking,expressed
history,later,memory,treatment,temporal,disorder,making
receiving,reduced,interacted,pair,exposure,either,fewer
report,course,end,region,preference,read,episode
greater,remained,planned,more,ethnicity,consistent,faster
who,care,bias,did,early,outcome,event
without,completed,left,larger,any,cue,such
slower,during,within,those,diagnosis,decreased,logistic
patient,than,rate,times,younger,increased,neutral
sensitivity,experienced,individual,response,contrast,compared,made
session,mothers,qualified,partner,problem,their,when
face,child,having,but,use,associated,reported
number,symptom,controlling,age,lower,after,change
among,not,main,significan.,time,with,interaction
,,,,,,
"Negatively linked with ..., consistently linked with fragile p-values",,,,,,
machiavell.,entreprene.,cyberbully.,procrastin.,dark,narcissism,pillais
trace,innovation,bartletts,swb,passion,alexithymia,hope
kmo,burnout,sphericity,lambda,has,adequacy,discrimina.
kaisermeye.,adaptabili.,organizati.,wilk,usefulness,factorial,exhaustion
theoretical,wilkss,national,resilience,autonomy,confirmato.,satisfacto.
homogeneity,capital,bullying,leadership,obtained,sem,dimension
dissatisfa.,normality,explaining,workplace,according,career,beside
onefactor,mediating,adequate,construct,victimizat.,manova,intrinsic
invariance,brand,problematic,internet,acceptable,path,threefactor
multivaria.,profession.,pearsons,bootstrap,respective,sampling,intention
goodnessof.,influence,hypothesis,supervisor,direct,measurement,structural
supported,loading,step,online,psychologi.,teacher,convergent
employee,directly,accounted,value,job,proposed,chisquare
can,follow,partially,solution,satisfacti.,excellent,standardiz.
impact,good,statistic,indirect,academic,mediation,ranged
covid,engagement,student,mediator,index,therefore,table
motivation,profile,mindfulness,finally,variable,through,indicate
equation,latent,lastly,show,assumption,relationsh.,explained
fit,hierarchic.,indicator,coefficient,work,variance,medium
trust,dependent,moreover,factor,are,personality,positive
positively,furthermore,descriptive,criterion,perception,correlation,subscale
support,attitude,considered,indicated,grade,predictive,moderate
related,datum,its,test,hypothesi,very,five
suggested,based,well,total,life,model,scale
figure,second,regression,predictor,social,factors,item
shown,sample,and,the,that,,
