Style,Cutoff,Count,(%),"P fragile
percentage","P-implied fragile
percentage","Implied-p
count","Has implied
percentage"
All less,0.05,5548,2.3%,100.0%,50.9%,1614,29.1%
All less,0.01,4062,1.7%,0.0%,3.5%,1110,27.3%
All less,0.001,14591,6.1%,0.0%,0.8%,5819,39.9%
All less,0.0001,1130,0.5%,0.0%,1.0%,351,31.1%
All less mixed,0.05,260,0.1%,100.0%,82.8%,113,43.5%
All less mixed,0.01,12942,5.4%,44.5%,38.2%,5340,41.3%
All less mixed,0.001,44515,18.5%,26.6%,22.1%,22718,51.0%
All less mixed,0.0001,6833,2.8%,22.6%,19.7%,3970,58.1%
Equal less,0.05,44,0.0%,100.0%,87.7%,23,52.3%
Equal less,0.01,3374,1.4%,44.3%,39.8%,1639,48.6%
Equal less,0.001,64420,26.8%,29.0%,25.3%,41507,64.4%
Equal less,0.0001,4484,1.9%,29.2%,27.1%,2071,46.2%
All equal,0.05,3447,1.4%,100.0%,96.4%,1236,35.9%
All equal,0.01,9197,3.8%,63.8%,59.8%,3917,42.6%
All equal,0.001,5613,2.3%,43.8%,42.9%,2601,46.3%
All equal,0.0001,5648,2.3%,29.5%,28.0%,2510,44.4%
Eclectic,,54247,22.6%,35.6%,28.8%,34595,63.8%
