"Positively linked with ..., inconsistently linked with fragile p-values",,,,,,
perceiver,judged,judgments,lag,policy,human,character
united,midpoint,varied,greatest,true,estimate,above
moral,feature,prevalence,much,adult,random,majority
across,similarity,average,worse,person,rating,relatively
could,slightly,even,better,my,expected,improved
confirmed,again,still,belief,including,strongly,similar
highly,most,study,each,these,this,from
were,,,,,,
,,,,,,
"Negatively linked with ..., inconsistently linked with fragile p-values",,,,,,
dog,serum,muscle,con,regarding,balance,moderation
regard,statistical,tukey,marital,women,nonsignifi.,exercise
stage,significan.,product,experiment.,difference,moderated,betweengro.
posthoc,except,female,significant,girl,emerged,between
family,level,sex,found,analysis,group,
